X,y,coi,cow
../coco/train2017/000000244164.jpg,../coco/train2017/000000244164.png,false,false
../coco/train2017/000000015895.jpg,../coco/train2017/000000015895.png,false,false
../coco/train2017/000000153960.jpg,../coco/train2017/000000153960.png,true,false
../coco/train2017/000000004208.jpg,../coco/train2017/000000004208.png,true,false
../coco/train2017/000000305738.jpg,../coco/train2017/000000305738.png,false,false
../coco/train2017/000000015870.jpg,../coco/train2017/000000015870.png,true,false
../coco/train2017/000000355344.jpg,../coco/train2017/000000355344.png,true,false
../coco/train2017/000000001518.jpg,../coco/train2017/000000001518.png,false,false
../coco/train2017/000000004092.jpg,../coco/train2017/000000004092.png,false,false
../coco/train2017/000000337435.jpg,../coco/train2017/000000337435.png,true,false
../coco/train2017/000000417741.jpg,../coco/train2017/000000417741.png,false,false
../coco/train2017/000000122120.jpg,../coco/train2017/000000122120.png,false,false
../coco/train2017/000000053662.jpg,../coco/train2017/000000053662.png,true,false
../coco/train2017/000000035004.jpg,../coco/train2017/000000035004.png,false,false
../coco/train2017/000000183537.jpg,../coco/train2017/000000183537.png,true,false
../coco/train2017/000000123069.jpg,../coco/train2017/000000123069.png,true,false
../coco/train2017/000000203673.jpg,../coco/train2017/000000203673.png,false,false
../coco/train2017/000000142779.jpg,../coco/train2017/000000142779.png,true,false
../coco/train2017/000000482305.jpg,../coco/train2017/000000482305.png,false,false
../coco/train2017/000000184499.jpg,../coco/train2017/000000184499.png,false,false
../coco/train2017/000000132612.jpg,../coco/train2017/000000132612.png,true,false
../coco/train2017/000000133377.jpg,../coco/train2017/000000133377.png,true,false
../coco/train2017/000000498769.jpg,../coco/train2017/000000498769.png,true,false
../coco/train2017/000000028508.jpg,../coco/train2017/000000028508.png,true,false
../coco/train2017/000000268848.jpg,../coco/train2017/000000268848.png,true,false
../coco/train2017/000000274653.jpg,../coco/train2017/000000274653.png,false,false
../coco/train2017/000000336181.jpg,../coco/train2017/000000336181.png,false,false
../coco/train2017/000000372199.jpg,../coco/train2017/000000372199.png,false,false
../coco/train2017/000000081593.jpg,../coco/train2017/000000081593.png,false,false
../coco/train2017/000000185108.jpg,../coco/train2017/000000185108.png,false,false
../coco/train2017/000000346062.jpg,../coco/train2017/000000346062.png,false,false
../coco/train2017/000000289158.jpg,../coco/train2017/000000289158.png,true,false
../coco/train2017/000000351141.jpg,../coco/train2017/000000351141.png,false,false
../coco/train2017/000000078813.jpg,../coco/train2017/000000078813.png,false,false
../coco/train2017/000000460863.jpg,../coco/train2017/000000460863.png,false,false
../coco/train2017/000000190426.jpg,../coco/train2017/000000190426.png,false,false
../coco/train2017/000000365217.jpg,../coco/train2017/000000365217.png,false,false
../coco/train2017/000000240867.jpg,../coco/train2017/000000240867.png,false,false
../coco/train2017/000000124142.jpg,../coco/train2017/000000124142.png,false,false
../coco/train2017/000000246530.jpg,../coco/train2017/000000246530.png,true,false
../coco/train2017/000000322945.jpg,../coco/train2017/000000322945.png,true,false
../coco/train2017/000000297444.jpg,../coco/train2017/000000297444.png,false,false
../coco/train2017/000000406920.jpg,../coco/train2017/000000406920.png,false,false
../coco/train2017/000000365792.jpg,../coco/train2017/000000365792.png,false,false
../coco/train2017/000000253575.jpg,../coco/train2017/000000253575.png,true,false
../coco/train2017/000000455370.jpg,../coco/train2017/000000455370.png,true,true
../coco/train2017/000000163759.jpg,../coco/train2017/000000163759.png,true,false
../coco/train2017/000000001323.jpg,../coco/train2017/000000001323.png,true,false
../coco/train2017/000000345265.jpg,../coco/train2017/000000345265.png,false,false
../coco/train2017/000000142014.jpg,../coco/train2017/000000142014.png,false,false
../coco/train2017/000000315830.jpg,../coco/train2017/000000315830.png,false,false
../coco/train2017/000000029680.jpg,../coco/train2017/000000029680.png,true,false
../coco/train2017/000000184246.jpg,../coco/train2017/000000184246.png,true,false
../coco/train2017/000000058437.jpg,../coco/train2017/000000058437.png,true,false
../coco/train2017/000000153150.jpg,../coco/train2017/000000153150.png,true,false
