X,y,coi,cow
~/projects/deeptraining/dataset/images/resized/train/000000439669.jpg,~/projects/deeptraining/dataset/images/resized/train/000000439669.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000073521.jpg,~/projects/deeptraining/dataset/images/resized/train/000000073521.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000516541.jpg,~/projects/deeptraining/dataset/images/resized/train/000000516541.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000153734.jpg,~/projects/deeptraining/dataset/images/resized/train/000000153734.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000374886.jpg,~/projects/deeptraining/dataset/images/resized/train/000000374886.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000286656.jpg,~/projects/deeptraining/dataset/images/resized/train/000000286656.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000397958.jpg,~/projects/deeptraining/dataset/images/resized/train/000000397958.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000490888.jpg,~/projects/deeptraining/dataset/images/resized/train/000000490888.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000530896.jpg,~/projects/deeptraining/dataset/images/resized/train/000000530896.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000521823.jpg,~/projects/deeptraining/dataset/images/resized/train/000000521823.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000477069.jpg,~/projects/deeptraining/dataset/images/resized/train/000000477069.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000028429.jpg,~/projects/deeptraining/dataset/images/resized/train/000000028429.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000397379.jpg,~/projects/deeptraining/dataset/images/resized/train/000000397379.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000109663.jpg,~/projects/deeptraining/dataset/images/resized/train/000000109663.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000557101.jpg,~/projects/deeptraining/dataset/images/resized/train/000000557101.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000305888.jpg,~/projects/deeptraining/dataset/images/resized/train/000000305888.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000481178.jpg,~/projects/deeptraining/dataset/images/resized/train/000000481178.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000044352.jpg,~/projects/deeptraining/dataset/images/resized/train/000000044352.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000516798.jpg,~/projects/deeptraining/dataset/images/resized/train/000000516798.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000195017.jpg,~/projects/deeptraining/dataset/images/resized/train/000000195017.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000163319.jpg,~/projects/deeptraining/dataset/images/resized/train/000000163319.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000345835.jpg,~/projects/deeptraining/dataset/images/resized/train/000000345835.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000337827.jpg,~/projects/deeptraining/dataset/images/resized/train/000000337827.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000268905.jpg,~/projects/deeptraining/dataset/images/resized/train/000000268905.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000418144.jpg,~/projects/deeptraining/dataset/images/resized/train/000000418144.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000184731.jpg,~/projects/deeptraining/dataset/images/resized/train/000000184731.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000218752.jpg,~/projects/deeptraining/dataset/images/resized/train/000000218752.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000564643.jpg,~/projects/deeptraining/dataset/images/resized/train/000000564643.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000501142.jpg,~/projects/deeptraining/dataset/images/resized/train/000000501142.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000500389.jpg,~/projects/deeptraining/dataset/images/resized/train/000000500389.png,true,true
~/projects/deeptraining/dataset/images/resized/train/000000040551.jpg,~/projects/deeptraining/dataset/images/resized/train/000000040551.png,false,false
~/projects/deeptraining/dataset/images/resized/train/000000055722.jpg,~/projects/deeptraining/dataset/images/resized/train/000000055722.png,true,true
